;R1;FH2;FCH4;models;model
21713;2.0268674792532217;6.483057368929943;4.456189889676721;uninhabitable;0
21714;-0.38838963628867096;5.622713102688359;6.011102738977031;uninhabitable;0
21715;1.4390912967284126;9.047227782075083;7.608136485346671;inhabited;2
21716;3.8597233630435848;10.066266968269556;6.2065436052259715;uninhabitable;0
21717;-1.3630437730223135;4.23501165869926;5.598055431721574;uninhabitable;0
21718;0.6495013492488458;5.8576866722554986;5.208185323006653;uninhabitable;0
21719;0.11208984506712419;9.668719778560698;9.556629933493573;inhabited;2
21720;-4.273044089656914;4.7510188843845755;9.02406297404149;uninhabitable;0
21721;-2.2593439036815335;6.51380670482517;8.773150608506704;uninhabitable;0
21722;0.7312636391371694;9.826271271492828;9.095007632355658;inhabited;2
21723;0.9583824155530375;6.029857213443667;5.071474797890629;uninhabitable;0
21724;-1.9041492043325672;6.0659093504209975;7.970058554753565;uninhabitable;0
21725;2.5631112191326575;9.292627782153081;6.729516563020424;habitable;1
21726;-2.5817448919111965;7.724288744822083;10.306033636733279;uninhabitable;0
21727;1.098389293564385;5.476997992515614;4.378608698951229;uninhabitable;0
21728;-0.18802324508322799;6.03444439266051;6.222467637743738;uninhabitable;0
21729;-2.414227861149618;6.941865216626912;9.35609307777653;uninhabitable;0
21730;4.8957801285668054;8.918648978208301;4.022868849641495;habitable;1
21731;-2.1436030772817594;6.575011955791286;8.718615033073045;uninhabitable;0
21732;1.521586091687185;7.309665401769168;5.788079310081983;uninhabitable;0
21733;-2.1866454036172396;6.188217943912714;8.374863347529955;uninhabitable;0
21734;-0.7764568185353732;6.089885745880248;6.866342564415621;uninhabitable;0
21735;-0.5573567082919711;5.542140291324223;6.0994969996161945;uninhabitable;0
21736;2.9151563064895885;7.3347942356777756;4.419637929188187;uninhabitable;0
21737;-4.381064689905208;4.91088558046948;9.291950270374688;uninhabitable;0
21738;-0.224379023923694;8.762885973920834;8.987264997844528;inhabited;2
21739;2.9262304381901516;7.384540662509451;4.4583102243193;uninhabitable;0
21740;2.1252942534233923;9.945769285915201;7.820475032491809;habitable;1
21741;-1.406342037968124;4.246269299655635;5.6526113376237594;uninhabitable;0
21742;4.432049224421747;9.70586710045159;5.273817876029843;habitable;1
21743;-0.48731471444333935;5.3968242776265996;5.884138992069939;uninhabitable;0
21744;0.04125133578296592;5.893557077625972;5.852305741843005;uninhabitable;0
21745;-1.2767787590785518;5.174812060046778;6.45159081912533;uninhabitable;0
21746;-0.14261370503592438;7.935175057608047;8.077788762643971;uninhabitable;0
21747;2.214712131629749;7.191299691980648;4.976587560350898;uninhabitable;0
21748;-0.5292097417228482;4.793632575301363;5.322842317024211;uninhabitable;0
21749;1.8159341176643011;7.283598965538164;5.467664847873863;uninhabitable;0
21750;0.9018822841316098;8.568431124241469;7.66654884010986;uninhabitable;0
21751;-0.18439697904093166;4.9423782641404275;5.126775243181359;uninhabitable;0
21752;-2.3763776469920255;7.182928679064779;9.559306326056804;uninhabitable;0
21753;1.433763207458941;7.268661763278052;5.8348985558191115;uninhabitable;0
21754;-2.530956238742876;6.441661923223075;8.97261816196595;uninhabitable;0
21755;-0.5532890209422164;6.763476154438026;7.316765175380242;uninhabitable;0
21756;-1.117410689885722;5.223316416300509;6.340727106186232;uninhabitable;0
21757;0.02168768596055735;9.851972527451059;9.830284841490501;inhabited;2
21758;1.7481389924878417;8.435932378737741;6.6877933862499;inhabited;2
21759;-2.0131596323085628;4.362739222549899;6.375898854858462;uninhabitable;0
21760;3.0512801706536936;8.771417069802833;5.72013689914914;habitable;1
21761;2.0592004653051252;9.398297489349863;7.339097024044738;habitable;1
21762;0.786660632978707;5.858128692613703;5.071468059634997;uninhabitable;0
21763;1.8071318186880667;8.274665911178865;6.467534092490798;inhabited;2
21764;1.2979150068203886;10.049383149017293;8.751468142196904;inhabited;2
21765;-0.11178597002188197;4.571627698543053;4.683413668564935;uninhabitable;0
21766;-0.13669546694553042;7.037067576333485;7.173763043279016;uninhabitable;0
21767;0.2424389710887268;5.730125544455654;5.487686573366927;uninhabitable;0
21768;-2.73681019050907;5.028881956130213;7.765692146639283;uninhabitable;0
21769;-1.248469930352329;5.751141863873386;6.999611794225715;uninhabitable;0
21770;-2.20432834561983;4.7663236382071394;6.970651983826969;uninhabitable;0
21771;-3.5997293879941314;3.7419353764670285;7.34166476446116;uninhabitable;0
21772;-3.0430669061893316;6.910536892414405;9.953603798603737;uninhabitable;0
21773;0.6752601960368427;7.337109118411355;6.661848922374513;uninhabitable;0
21774;-0.12558510443355422;7.943108138715153;8.068693243148708;uninhabitable;0
21775;-0.5707738894456612;5.933691377244528;6.504465266690189;uninhabitable;0
21776;-2.871038918681714;4.565372129645843;7.436411048327557;uninhabitable;0
21777;1.2333894254257838;6.705374797074423;5.471985371648639;uninhabitable;0
21778;2.043854062481202;8.850551521853987;6.806697459372785;uninhabitable;0
21779;0.008066157412865798;5.7109173903741715;5.702851232961306;uninhabitable;0
21780;1.944091387580262;10.460044736681569;8.515953349101308;inhabited;2
21781;0.5643524395303791;5.492151648064281;4.9277992085339015;uninhabitable;0
21782;-0.8369866218681217;5.608534246140838;6.445520868008959;uninhabitable;0
21783;1.469416699202431;9.137238952608453;7.667822253406022;inhabited;2
21784;-0.37425535900118917;5.449729647995732;5.823985006996921;uninhabitable;0
21785;-5.352357028016019;4.664577614932895;10.016934642948915;uninhabitable;0
21786;1.9864898705326088;9.228840929494924;7.242351058962314;habitable;1
21787;0.6494742784899694;5.225045265534835;4.575570987044865;uninhabitable;0
21788;0.3130639332120842;9.30794165006728;8.994877716855195;inhabited;2
21789;2.909592958640175;8.199241705153819;5.289648746513643;inhabited;2
21790;1.8241964866177762;9.11958862392424;7.2953921373064645;inhabited;2
21791;-1.8438078718473514;5.209961060625368;7.053768932472718;uninhabitable;0
21792;-3.8209088382535232;5.465871583249641;9.286780421503165;uninhabitable;0
21793;0.7923609209716765;9.87310547302169;9.080744552050012;inhabited;2
21794;-3.6452002074200287;5.647852275178575;9.293052482598604;uninhabitable;0
21795;-3.2107543328215766;5.677906462306251;8.888660795127828;uninhabitable;0
21796;-3.595555089682649;4.814156895523564;8.409711985206213;uninhabitable;0
21797;2.4210041086094867;7.651713227725954;5.230709119116467;uninhabitable;0
21798;-0.6961423360008766;5.1301936196924744;5.8263359556933505;uninhabitable;0
21799;2.3296638002537775;8.136999883715337;5.807336083461559;inhabited;2
21800;-4.511931850062718;4.769403420044558;9.281335270107276;uninhabitable;0
21801;1.487817345190903;9.016413504058862;7.52859615886796;habitable;1
21802;1.2141114575516598;7.701855058611243;6.4877436010595835;uninhabitable;0
21803;1.178008307880959;6.757959756753352;5.579951448872394;uninhabitable;0
21804;0.687870938012058;7.935582496411929;7.24771155839987;uninhabitable;0
21805;1.4317833740249144;7.647458795630878;6.2156754216059635;uninhabitable;0
21806;-1.913747876395612;7.374681438924068;9.288429315319679;uninhabitable;0
21807;-3.106489538049031;6.7961018784690195;9.902591416518051;uninhabitable;0
21808;5.210808651470959;9.62859423661211;4.417785585141151;habitable;1
21809;-0.5655225575171162;8.351032921698758;8.916555479215875;uninhabitable;0
21810;1.4833419133694776;9.86277170700935;8.379429793639872;inhabited;2
21811;2.0638737500602673;7.095851509590622;5.0319777595303545;uninhabitable;0
21812;0.42980393277762274;10.344622996019508;9.914819063241886;habitable;1
21813;-5.558736052491422;3.719196136468638;9.27793218896006;uninhabitable;0
21814;0.6324379544821294;5.611948648686825;4.979510694204695;uninhabitable;0
21815;0.40628596783579013;6.299685553434596;5.893399585598806;uninhabitable;0
21816;-2.3299869260365877;7.112141879288793;9.44212880532538;uninhabitable;0
21817;4.565898029368494;9.816174326019409;5.250276296650915;habitable;1
21818;-4.076815192336574;4.530973958509004;8.607789150845578;uninhabitable;0
21819;-4.197149908568741;4.980497027917594;9.177646936486335;uninhabitable;0
21820;-0.5182089381611915;7.835638473744174;8.353847411905365;uninhabitable;0
21821;1.8406118236564517;7.707320250189111;5.86670842653266;uninhabitable;0
21822;1.3502454759314115;7.148052357975067;5.7978068820436555;uninhabitable;0
21823;1.6236019692105794;10.0320902224078;8.408488253197222;inhabited;2
21824;1.2141532352780167;8.243814843256303;7.029661607978285;uninhabitable;0
21825;1.7201057059113911;9.341501261873638;7.6213955559622475;uninhabitable;0
21826;-1.5655631339887088;3.8114734750625012;5.377036609051211;uninhabitable;0
21827;-2.8933180395347327;5.057494458008267;7.950812497543;uninhabitable;0
21828;1.003613469438774;7.252895932633137;6.249282463194362;uninhabitable;0
21829;4.428191216750584;9.345388451131836;4.917197234381253;habitable;1
21830;0.8412857856119133;7.501046989348088;6.659761203736174;uninhabitable;0
