;ranks;R1;R2;Qp;model
57;57;59.56460076394317;0.01060422644726611;0.03257143233105538;0
58;58;266.86643065508207;0.004257785195221863;0.17318808112563056;0
60;60;2.2346948733796865;1.788016110030412e-05;2.328455064009107;0
62;62;1.2815275318874109;0.0003628904587842653;0.35242524913471573;0
63;63;3.071204738294667;0.0007076943692186904;1.3135535875446716;0
64;64;7827.550364772263;0.06470187743038038;0.0020544005578291553;0
65;65;1.4018446943352314;1.3243679318178226e-05;6.861004714199765;0
66;66;0.9712981185359588;3.341403252806931e-05;10.41300867044527;0
67;67;0.1066064762356613;4.081808345139816e-05;10.923313599285052;0
68;68;11.182547660450393;7.420123979455474e-05;0.7368577710991928;0
71;71;0.18307475459820882;1.4754346408693281e-05;19.653507615018473;0
72;72;5.186631735849441;0.002044442345929487;0.39660985156727724;0
73;73;428.57339437484245;0.001922703210298414;0.16603309849162043;0
74;74;131.85521502873578;0.0007352091005566246;0.23608001835674805;0
75;75;1.8029060882811614;5.2201557195773953e-05;30.646653069603456;0
76;76;21.56110327528724;0.0015586450586345712;0.11977592434863038;0
77;77;238.54213721741175;0.004343807330712298;0.26770284453731963;0
78;78;8.3889634050013;0.0010461571394223385;0.021398306829973453;0
79;79;0.02430382450532878;2.54956948534514e-07;212.4722217734964;0
81;81;0.012536173099231931;1.2605561067981702e-06;56.38261792575805;0
82;82;1.3044608257682322;6.435224524989962e-05;6.1733659344634795;0
83;83;0.13941592296288857;0.0003115177460547941;3.083084819929257;0
84;84;115.60853019314999;0.05621222344955692;0.03992553880981901;0
85;85;0.008065449061177312;5.424736929313691e-06;8.497034090593207;0
86;86;1.4217842948932307;6.860369897376898e-05;9.321075680240739;0
87;87;0.48518240054993933;3.754647639594612e-07;151.9484987180576;0
88;88;0.03704530088412274;1.2603162103772137e-05;39.89508440987692;0
90;90;1.4017899495428583;0.0002660183416974261;2.7768018234204446;0
95;95;0.4079765039011156;2.2543035292755747e-06;88.09928511762725;0
96;96;0.7045542357395453;0.00020256026434676967;1.2142289957080759;0
97;97;0.1211009892284475;5.440338082708827e-06;58.45983924346432;0
98;98;0.3185478457426664;6.184224355675336e-06;29.309617672368056;0
99;99;0.7249179342189204;0.0013585606243723546;2.8848810867789942;0
100;100;1.0853955135128246;5.189911006200289e-05;17.441605397855852;0
101;101;9.555031346389086;1.1429205280767206e-05;6.825385565749808;0
102;102;2.9147413969948937;0.00010662115216724156;3.0475893117260116;0
104;104;0.041923768706956424;5.524324401946174e-07;73.18422675706434;0
106;106;3.9093903895630127;0.0007625550230377257;0.12864912681254972;0
107;107;54.53767202434397;0.0002115918283240769;2.336274644056299;0
108;108;4.330976067385941;1.1519628473260429e-05;3.651050479337957;0
110;110;4.903413641929474;3.192260591727495e-05;1.4981950680650067;0
111;111;0.3588581314746214;0.0002571517061958648;0.34963999150652236;0
112;112;5.765364793244227;0.0005935070637765053;0.7710690726480062;0
114;114;0.08227554805830678;6.114507388401078e-06;243.49534447408507;0
116;116;162.4600347340876;0.01945633832691723;0.035462158350470625;0
117;117;0.3330936667310997;9.905245532347613e-05;38.94013901379882;0
119;119;6.57776007766154;0.00011088420830830823;4.443900045513973;0
121;121;410.64524949560166;0.0022436322243601452;0.07247398324065783;0
122;122;0.031033001359928446;1.2029682796103884e-06;60.695103531655974;0
123;123;35.07033620249948;0.015039807600534864;0.08530088337871866;0
124;124;0.020393128414255567;8.815935313102717e-06;48.94617169489364;0
125;125;1.9757624559804967;0.00011339835178479966;4.068555097974393;0
126;126;3.881338433028749;4.875810729232582e-06;20.818729615784196;0
127;127;0.24682086718818563;2.0757144377140866e-05;11.802689075506892;0
129;129;10.423247139014315;0.0029519589275250123;0.2620257545399926;0
