;ranks;R1;R2;Qp;model
116;116;3.143835997515407e-06;1.712120750815095e-06;734.4361591098624;0
118;118;0.31946565539434496;1.8010701031350983e-05;12.873104738731701;0
119;119;0.07559934922906793;2.2574638650251388e-06;47.35339703864478;0
120;120;1.1812282643037502;3.902182709541287e-05;1.0930846460162196;0
121;121;0.00017532899101257995;1.466672206618972e-05;104.35210241858691;0
122;122;0.007816322820403248;0.00010320895719125908;41.62849570616165;0
123;123;0.9796013955318242;5.416851480005989e-05;5.060265366079252;0
126;126;0.3283220235535567;3.429870117391244e-06;157.69282020307412;0
127;127;0.3153369928702126;0.0031255159636770806;0.19425694378194575;0
128;128;3.4561763088143094;0.27311054647615357;0.004340411837949517;0
129;129;0.03480827359406567;6.896333732989135e-05;1.7842812764306706;0
